docno,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10
2f85cb55631b675f6f94ae13f2b66adab2beaccf,1,1,1,2,,,,,,
184ac0766262312ba76bbdece4e7ffad0aa8180b,2,2,2,,,,,,,
ec4715106812f83a4319c9d8299bace1fb866fde,2,2,2,2,2,2,,,,
c9e6a24497da04789c493d63a09f2db9ad4f49e7,2,2,2,2,,,,,,
3861839d05cb39ec928590b169f08a5c119fb56f,2,2,2,2,,,,,,
128240ef2451949d4de75f1f3d33fd73f396ad82,2,,,,,,,,,
91088e5fef080aeae561bac75d1a9c021ac6fb59,2,2,2,2,,,,,,
933e5d4c1efddd73905ad9baf1a108126877e5d6,1,1,1,1,1,1,1,,,
a0d262085c98136215f54a7dcec708ccf18872de,,,,,,,,,,
bdbc883649b90e04cfa3d18cea31023a22833de8,2,2,2,,,,,,,
11e4e71b13860045fa9abff5ea227463d0e7562b,2,2,2,,,,,,,
62a45f6e4159d9fcd2c9afd1b7f33462ded65c71,1,1,,,,,,,,
01016796cad8124f435f236cdc5e6c4e6a92600c,2,2,2,2,,,,,,
bcbef490ccd4d6ef7fbb2f40cebea6a5c8d1c84c,2,,,,,,,,,
d4b651d6a904f69f8fa1dcad4ebe972296af3a9a,2,2,2,,,,,,,
eb3eda2aa23760f8ec7dafb520c268e0d943548a,2,2,2,1,2,,,,,
2d34fe78fe2f2c5b6e1c6f51d01ca3d9add5a037,,,,,,,,,,
50a80b9f8b90a4bdea6d8c71009c35dc0acedd85,2,,,,,,,,,
cff2df4f835304338e25f0cf7f923fd695496c6b,2,,,,,,,,,
7461d2013d34a8d925e7f87bd6171e03cdd46d7c,2,2,2,2,2,,,,,
e51a190443204d70533a03ba07b3b7f306f6b0a5,2,2,2,2,,,,,,
6c713899645b7bab57befbe220d4a5dc71470f0a,2,2,2,,,,,,,
df1d42e7748c364a442d7e53aeb5ed52ee85fe79,2,2,2,2,,,,,,
808d68f5b8740309082e09698cf8246a8f925e1a,2,2,2,,,,,,,
01d71ae294672b7102b0bd4455af5d6fb677788b,2,2,2,2,,,,,,
322d03bdbf58a1c0740c74c6abad84060ffdc7e3,2,2,1,,,,,,,
243d068c29515718dc85c3a6ec5ca00b9b45544d,2,,,,,,,,,
253e5b6b13b1cb7d4559e7247defd7c137e5177d,1,1,1,,,,,,,
ccb6056f9d40d083747e361d4ac63070ac9ac7a8,2,,,,,,,,,
bd75a03b82e1f883f41ad65d4274b0732ac50740,2,2,2,,,,,,,
79da740db9006b2aa3e7b571d038ec895e323121,2,2,2,,,,,,,
1047a0b75319394f8c663a912220e2648a0fd0b2,1,1,,,,,,,,
0bd9c433834e9df0fed55d65ec13da9d46c7f852,2,2,2,2,2,2,2,2,,
95c2195e9fbebc8b5dbb4bb9797d1dd2851b0463,2,2,,,,,,,,
d93f73b636ecff784637733414c7c92d66e0f218,1,1,1,1,,,,,,
466812b9d5c3fd2a45685d219815ba641553aa57,,,,,,,,,,
cf38e244e4f6ff4f31ab46f002fb2869e215ca15,2,,,,,,,,,
9f1ede5c88ad65c891d83e478d4ee53fc88bec1e,2,,,,,,,,,
9b2d0fbff0d2f0bda12c4247728e2422eb7f550f,2,2,,,,,,,,
eb46cf7e2eb7f2fa8eca7ee6e0b18fe96ea26965,1,1,1,1,1,1,,,,
4a8a8ca8dfb28a7ee9689776a1117e317011f167,2,2,,,,,,,,
b37879bd7fe75e1c4cd7513f2cc2f1978c06537a,2,2,,,,,,,,
f822ef1bee7dae4a458c991248c749f34b5573a2,1,1,1,1,1,,,,,
c7f6a6728adfa3d29327384bdfedb297ccff3613,2,,,,,,,,,
1360b6c29928bc88e40f1820b6da4bd0efaa6e05,1,1,1,,,,,,,
93b2353e44ec2cee51ea432602539fc096e75e0e,2,2,2,2,,,,,,
c647e8d93d85cdc6fb8c19deaf2eb9ec5c8d8941,,,,,,,,,,
31d5dfe11a6e4eda83181d30ec353ab4a65f7cb1,2,2,2,,,,,,,
e461d7cf6a414d288d5ab802da6263a5226f4bfb,2,2,2,2,,,,,,
05ec31f59901c39c70396791366c94beaf79ec16,2,2,,,,,,,,
5f9254d8a5a63f1252ea02562dcb425f7624210c,2,2,,,,,,,,
d1ecf805856c5de936f5f57fcb50744a212e5006,2,,,,,,,,,
0c091fab75d4dd1a792de13159bcfa305932ae2d,2,2,,,,,,,,
145e5db637f8fbd7727fe3916aad102dbff3b62c,2,,,,,,,,,
3049c6ef5809d6820bcf6188ebef3ce34d6ae614,2,2,,,,,,,,
dfe7438acbe5781b6764f97cd5203d8c0bbce3de,2,2,2,2,2,,,,,
2f8901f7cf7d2f6c3cfb5297436261ccb8f2cb2d,,,,,,,,,,
e2c558f1467863238374899f44e6d466fba99f98,2,2,,,,,,,,
5cec56b12b9f1eea0fc335e2f97e988410685b6f,2,2,,,,,,,,
9d85418bc8ca233e7244983153fd5d6342ab387d,,,,,,,,,,
984a08b104f5999a53627c1af7f135c76636c8e4,2,2,,,,,,,,
5329286884390d8c5620a82fbefae41e3473c241,2,2,,,,,,,,
c69a0fec8eb4827c9761c9ec4fd40b355404dfd6,2,2,2,,,,,,,
28fa47e7c66b07a791bac5e88d561a558dbcd0f0,2,1,2,,,,,,,
cc0b5cf8c4efb446c0099b676af851789aba11a4,2,2,2,2,,,,,,
b0d99d995b841f32590fcfde1d17a12a60c81584,2,2,2,2,2,2,,,,
5db0eb5340b6ba26ef0ad081114a2e48109582a8,,,,,,,,,,
c0cd3d1ff165807ef4b755ed2e5cf1e0e4632b18,2,2,2,,,,,,,
2a70068b2da3c75632e2896a2da567a5f3b35231,2,2,2,,,,,,,
800692704816bd74e3f76d03b9ac9bfc35b3cfbc,2,2,,,,,,,,
0da46b2f0c58f993af35a976033ff056c56cdf86,2,2,2,2,2,,,,,
c2cd248811b0d9bdcfeb250e86518d19e3b08239,1,2,2,1,1,1,,,,
87a2832f778958fc1094ef7a7b0c243de55ed4db,2,2,,,,,,,,
27e19d241b9e370cf0486af1e1ebc85ef72a04a2,2,2,2,,,,,,,
a3ea99da8601d1188f8cf120b3414a8c268fa203,2,,,,,,,,,
616f4899411aaad96a1f06bad8da5ea64e0247e0,2,2,2,2,2,,,,,
dbfac0736f2fdfbedb3c3b659beec985efac80bf,2,2,2,,,,,,,
1f61da3e9201000bf3da4654f1da3d59f25370d0,2,2,2,2,2,2,,,,
cd3986ad19bcd24824a579486b4e550ad69faaa5,2,2,,,,,,,,
106157ac490c848041a4e106c902d3333305b0bf,2,2,2,,,,,,,
2dc04968c3f517c820dfdbd8b3858c290bd8fd3d,2,2,2,2,2,1,,,,
06af3f8921c508f9eeacadf433b521dd9f6863fe,2,2,2,2,2,,,,,
e631c93481d5998732ea3ad49add599df2f823b5,2,,,,,,,,,
b6b9e1943c9e2e7ca09c28cdc50c25b3918f3735,2,2,2,2,,,,,,
0b544dfe355a5070b60986319a3f51fb45d1348e,2,2,2,2,2,2,2,,,
9cffc0c80b1ae3c1b773b761f37c66e58890639e,2,2,2,2,2,2,2,,,
0319d68c0f153b05a22394e63f29456db603f0e4,1,,,,,,,,,
edb46da771b8135b5752b0675ea9bf53d5618bdb,2,2,2,,,,,,,
093a23fcc2ae923b9f7747eb7f405c6677a8cfc3,2,2,2,2,2,2,,,,
327dd9c5c4a17baa6a430a74d8484adc0eb06ca6,2,,,,,,,,,
1601e9f2bbf89f04f967a4f5f49d7adeca7f0719,,,,,,,,,,
9aa6b136b013fdd822c8e9fb93aced6a30b5d7c7,2,2,2,2,2,,,,,
1b21db0fc7bafb323d6ec100ca60bcc68c165a87,1,1,,,,,,,,
86f6106751ea70c5f39358e894ef2fd4be26ff20,2,2,2,2,2,2,2,,,
98bb60748eb8ef7a671cdd22faa87e377fd13060,2,2,2,2,,,,,,
290cdb5f9a6f0917e3e0ee4511fcafed3c3edb4b,2,2,,,,,,,,
744629069861e2a6af9f793268ce8240181b54d1,2,2,2,2,2,,,,,
6cad0b45156f8a77bc96778b2cc77afeb4290aa7,2,2,2,2,,,,,,
9cf12ba53d54e87f9356435425ea1cde99e46328,1,2,,,,,,,,
9c489c2a4814a7c1c2fda48cfe7e026c1e7a6a5e,2,,,,,,,,,
c194307b9dda7f53a0c639319d2ec1c23b86e6a6,2,2,2,2,,,,,,
7c2dbee47538c550ff54a618937910e900c03db2,2,2,,,,,,,,
fffcad02cd142cccf5a1ca3e966ffc7c8aac783b,1,2,1,1,,,,,,
2ec9db187c822eed83152d3ad5bfb88919a776c7,2,,,,,,,,,
56a7b2af6d3980cf0a2cef4b6161e26faefa4b37,2,2,2,2,2,,,,,
a435de0ec08eeb9ac15c9e442915c3b20931138d,2,2,2,2,2,,,,,
20eb4c260184c6545484240bb8c39f193cefc261,1,1,1,1,1,1,1,,,
d24168260d7c0c8e5d6a94f131010d60d0dd4b4b,2,2,,,,,,,,
176fc7d0a481f79c3759f0c7e1e63865c6ea924b,2,2,2,2,,,,,,
0859f8b7ce87c32de01d99079820b526ec8798a4,2,2,2,,,,,,,
a3006b4e72ca92746d358eb0d0896cb2e74223b9,2,,,,,,,,,
66d42bf58c5d6e0bcabc7f9fac34ddaf9ef064d5,2,,,,,,,,,
3665cc6529a29bb4535baa116cfdfe2ab55c477f,2,2,2,,,,,,,
e1ab8146583716b838041132994187fec8fcd971,2,2,2,2,,,,,,
45e3ac0e1bf46405e40f22c1459ca0573cc5350a,2,2,,,,,,,,
86b9988f22d3e441ea5591a3c3cc15fdba6668e7,1,1,,,,,,,,
8b048376601d4e673df739c478abb0bc65f5971a,2,2,2,2,,,,,,
f4e34627753a704c8aba1c136ab0154976b93438,2,2,,,,,,,,
a7104f74438eaea1997217eae6851c442569abc5,2,,,,,,,,,
85ec21d608dd5b5a7fdadba4d4a764adabb5bf45,1,1,,,,,,,,
425a974c10ac134c4d20e7df18a1015cbae67b8b,2,2,2,,,,,,,
38de43cc61a5a5202e315104ffbe6a72335928cb,2,1,2,1,2,,,,,
b0743ad11614cf1f4861dc2eca0e4a264b528990,2,2,,,,,,,,
f199cadd2be27e3e948dc63b555ac55a9f233a1d,2,,,,,,,,,
2e4954400fcaa0dfb9628c6eb83004760fff9cf4,2,2,2,,,,,,,
d6331e1cd3ce7a46b3928e058330a77568f1ef13,2,2,2,2,,,,,,
4977b33fc7d1b69a65fe3acd2a14de325ab2b25b,2,2,2,2,2,2,,,,
e5c114afc8c4d4e10ae068ba8e3387cc13e17a6e,2,2,2,2,2,2,,,,
a52afdddd54747598e8cf07f63ff05da9a8f8f41,,,,,,,,,,
ef273f1b91dc101a253466120f675da61c53e918,2,,,,,,,,,
f8debbb585606d503f1049cfba3c1ddbad9352a8,2,2,,,,,,,,
675c671504f3cb6396c489267e27fb82395d4bc7,2,2,2,2,2,,,,,
51c49b8e006667bff0fd6590fec7f29278185cc1,2,2,2,,,,,,,
2001acc8ab72f8f40dab07e5a76d414fe748a90b,2,,,,,,,,,
fce47e2ba9bdca5209a1c7932bf1ac44f82e44fc,,,,,,,,,,
ea942c926bd20157b460df92b06df4bef9cba01c,2,,,,,,,,,
1888b48a44a577f9aa5fc5a3aebdc4fa3a8c2920,1,1,1,,,,,,,
acb678bdd7634055de18d0b89bb6a4890e6a0306,1,1,1,1,1,1,1,1,1,1
7058f8909fda4825e9ff8c45b7a0499d9d896eb2,2,2,2,2,,,,,,
affba3ee8384f7f05763429c3fce91954a847b11,2,2,2,,,,,,,
4debcb7fc5867416a32ea6b27a57524bb05aef45,,,,,,,,,,
42e4763852d2ef1e282650a340283551f20f6f33,1,1,,,,,,,,
97881c6577c310f50fc86738c0268896b970dfa4,1,1,,,,,,,,
77ead5debd2e2c9187150f195266fc3ea50b34c4,,,,,,,,,,
b61edf6d800e8e4f9285f0fb3707938ce9c03661,2,2,2,2,,,,,,
4b90f57df5b44e8181a1383c9338caf063b5c31c,,,,,,,,,,
c3aae172976cfc5c2158dcb0a4675c760023ee76,2,,,,,,,,,
edce538654b2561641d4b17070ec18561438244e,2,2,2,,,,,,,
854a719937844cd0890d52cc545ac27216a61fcf,1,1,1,1,1,1,,,,
fb2df7477c0e98bf0430d8acf65c0a5cbeb0c911,2,2,2,2,2,2,2,,,
56e1799360a67b41dc1e6d7aab592c57719da489,2,2,2,,,,,,,
8d3e04059df35d05b8222675ac3a1b58118ec2f1,1,,,,,,,,,
a5162d62a714d59ed731e400064f6febbd801922,2,2,2,,,,,,,
582da86a86ca9a7f0ce2458549444f79ab949a98,2,2,2,,,,,,,
13f0bd79b4b31c6dedd885b622ee16f3ca63debc,2,2,,,,,,,,
cfd0dbf05b77b0d303aaa222ae0f4e8d77d6f61b,2,2,,,,,,,,
59ab54f50c6a278425bdbf115921bd2f94923e28,1,,,,,,,,,
0cf76023d1187b30b3b06a23abdbb6e6ada93c68,2,1,2,,,,,,,
e6f749fa029251ff698a395e373e17aaf74f9739,1,1,,,,,,,,
e9bd83647e23e103a2f77fb37ab429e328592b70,2,2,2,,,,,,,
2623bea4b679f98e6144ff13a9f7ce65e5e86558,2,2,2,2,2,2,,,,
077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,2,2,2,2,2,2,2,2,2,2
0aa7943005dd20035715a3af81861da8896a6172,2,2,,,,,,,,
142d77d7c214aa1f5a9e44e6c74d0d1ea4f1d5a4,2,2,,,,,,,,
18c53bc744cffbad651b23d6facdad17cc95b3d3,2,2,2,2,,,,,,
2d0851086cdc8b2300b307335dea01c2260e06e0,2,,,,,,,,,
27536d3b33446d882623e838a1c2a68603b1312b,2,2,2,,,,,,,
7b95d389bc6affe6a127d53b04bcfd68138f1a1a,2,2,,,,,,,,
c682a49edb0a57bb6e4346734ff94ff4fd684cbe,2,2,2,,,,,,,
1c5876f59b8eb7da373512c70a4fe8e113a0ed29,2,2,2,2,2,,,,,
9fafdabbafeb5ee3d356411a4ef909368b283f9c,2,2,2,2,2,2,2,2,2,2
375301817bb773bac16f4de572b1ba452d2e5955,2,2,,,,,,,,
c1549168fe070cf16068ab34bb15eadf18515fdd,2,2,,,,,,,,
c51cf0da5f27c30714f7fb31d0604d7709bb4c91,2,2,,,,,,,,
d039cb85d93cb4dc180f823013173da476929fcb,2,2,2,2,2,2,,,,
f492f52310b97d4eef291832f20188a9c297f91f,1,1,1,1,1,,,,,
0e0a5f6cc0fdb9cebda224e52bc822aa32827b4d,2,2,,,,,,,,
e67cb0d9e6bac3c36b109dee90b1a410b0bb9398,2,2,2,2,2,,,,,
b76fcdeac3b0c5516c87b5661f08ba4d02d164df,2,2,,,,,,,,
e1f6ebb057e760f1c1da04592fafdc36cd0f3fde,2,,,,,,,,,
0293db07b98ecba45b686f665db3f1639c918092,2,,,,,,,,,
1ef8d749c458ca26cfd179334823bd9a56b381e7,2,2,,,,,,,,
30d629032b81abee9620925b60099d9e858ce470,2,2,2,2,,,,,,
9edbd62126f2d0e60a19bab863179557d8b77143,2,2,2,2,2,,,,,
a73a8cc5398166fbd334c7aff993939ffd39db2e,2,2,2,2,,,,,,
84a5e96b86bb7e9ed291d38a584916c4eed2ef40,2,2,,,,,,,,
5bd9d3c01510f6ca571791abcfce80808c44ec73,2,,,,,,,,,
3321f343a5df41cf5d9c892d90c65f32caa641a3,2,2,2,2,,,,,,
23d3ea057c75810a31682b827f777ddd584cca7e,2,,,,,,,,,
d968e0687a8f2557505aad3988a4de921dcf45fd,2,,,,,,,,,
aa71f35dec125cff366e470da35152022ca41191,,,,,,,,,,
6c7c126dbd44bac9620e145468ddd932afbc75df,1,1,1,,,,,,,
0988345c03e2cdf2d4833eee04264e39b1c2d55c,2,2,2,2,2,1,2,,,
d271aa04b94573036010ed2a7eb8f927d49bde76,2,2,2,2,2,2,,,,
d7ae34e34cbbe783bb950d0bc2285c8ce214e336,2,2,,,,,,,,
f93f946c95f3acb2cd4a781f3274cf8c136331aa,2,2,1,1,,,,,,
4cd7d5e84be894ccc38b4a841f608e6d5df42d4a,2,2,,,,,,,,
9b01ff8294e192e8c071370dc19c73b9a6f7d2b6,2,2,,,,,,,,
b5b2496d3af0bc42ee23d9429eb248f309fa7695,2,2,2,2,,,,,,
a1e61ff6cf68cfe936d3f3d8d13812d0a81d5823,2,2,1,2,1,2,2,2,2,
c51ef3b2d147744d91ab35f7dc9eef0b9ceffb9c,2,2,,,,,,,,
05db522988fdee490fd7e32c7d77822bce121cc6,2,2,2,2,2,,,,,
498a304a452fa4c3fb7ab91da7485bf0a405feac,2,2,,,,,,,,
b7d6b0a21b7cef25a73faac2dcd9c31f7b2b327d,2,2,2,2,2,2,2,2,2,
56959b28e24000ebad4d4828ae8eb6c18fa2d946,2,2,,,,,,,,
ca6e5783a856230f41a7f7b303a62c5f59dc9649,2,2,2,2,,,,,,
12f10caba81be9aa363fe1d92d4aac97fc025d55,1,,,,,,,,,
aceff42802e9b1946db31658d2876cf1b51b58d8,2,2,2,,,,,,,
d893316b58065e33d2fd9951a414da52726058c5,2,2,,,,,,,,
e29dea6f74a197f349e2ccc97733d872225c412a,2,,,,,,,,,
f57eec07d252b3f571b9e3939d1bd3e668c4e1a0,1,1,1,1,1,1,,,,
b8d8758acb8b88095e36478a12fae2f2eb6e6d0e,2,2,2,2,,,,,,
58f7accbe36aadd0ef83fd2746c879079eb816bc,1,1,,,,,,,,
ec5d73c9619027a8c1598c40044446b4413a6f23,2,2,,,,,,,,
92fffe386fd27045d11ea5e7f2dfaa62392607cd,,,,,,,,,,
c4b4eb54796bc8fc2894b4e5bb10d58c92cf97e9,2,,,,,,,,,
308bf0b70cf5c8c151514f51c0cbfb9c2d7cd8bb,1,1,1,1,1,1,1,,,
8c55d20d683cf84cd5d6a4a0b820c642ed211fd6,2,2,2,,,,,,,
7551beb28608bdc42e624ec348e7a4e09682077f,2,2,,,,,,,,
1e1a25fb4c109fd55dbc55de4f571986b2fedc5f,2,,,,,,,,,
e135becebdf49c4c6d2067ec9dffdfc7ac51c97d,1,1,,,,,,,,
3dd4ec5b48bf46f306a244808a2bd7e142a9fd00,1,1,,,,,,,,
4cd105262aa01f62b88baeda78570325661f67d3,2,2,,,,,,,,
c1f457e31b611da727f9aef76c283a18157dfa83,2,2,2,,,,,,,
25dfc7340262d4513f9b9d0d6d54c1d96b0298b2,2,2,2,,,,,,,
061dc11acccf373847a517de01caf00342575c66,1,1,1,1,1,,,,,
63a7fa9dd48ee2d508f947d44625caf06e041c8d,2,2,,,,,,,,
79cff45995c77be857086edd0930c9b5d76dc92d,1,1,1,,,,,,,
16ae467f94357e5ac70d0dd8096b2d68d446efb5,2,2,2,,,,,,,
ca8a9a86e54ad35c20a66be59f8d4189222750c5,2,2,2,2,2,2,2,2,2,
6bbe3f275c2f2071faa6fdf80c3e01fb39979da8,2,2,,,,,,,,
7fe36ddb0c49df86af20a7cc69a27ae175b94362,2,2,2,2,,,,,,
8e9df3ce0862dadce778529ea7e6f8f9e975fdb3,2,2,2,,,,,,,
edd74731335bb9962ebe3964c58a8aa491031a59,2,,,,,,,,,
c39a6b39cf5cfc1a117b6345e3713c3220b4b521,2,2,2,2,2,2,2,2,2,2
8b6f7d0b305d6cba163ef568cdc361ada56e6b7a,2,2,2,,,,,,,
b4569201b50e6b17beb08decfc1b3cc08130100b,2,,,,,,,,,
9d344c9d66d7b4016b7eb17716ee35570cb0d65e,2,2,2,2,2,2,2,,,
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,1,1,1,1,1,,,,,
53146416804c480083bb9a28c677079c736903fc,1,1,1,,,,,,,
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,,,,,,,,,,
65bd9ba9eb1e5d0151031c8461403a213b900f97,2,,,,,,,,,
9bec90295ef37e387e3119bd82dfca2cdc2c8ded,1,1,1,,,,,,,
74ec3d4cbb22453ce1d128c42ea66d2bdced64d6,2,2,,,,,,,,
ba1e1af274581801a11921377decc39490a8ea07,2,2,2,2,2,,,,,
76548769a142f858acf9d32e9bc4a2c5445fc9de,2,2,,,,,,,,
e06e60c4d7b2fa7cca181a8bc7324f65342e836e,2,2,,,,,,,,
28814444fe96b601e12f041128a6fa823e50f1fa,2,2,,,,,,,,
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,2,2,2,2,2,,,,,
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,2,2,2,,,,,,,
38ad845398de1f044a5e1243506c70f04063827c,2,,,,,,,,,
578ae8e6202159101f26227f8b03b249a5913921,2,,,,,,,,,
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,1,1,1,,,,,,,
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,2,2,2,,,,,,,
63910c37d6eece5eb7713c8199e460a38d85b84f,1,1,1,1,,,,,,
a4592975c28861b8aae4870e23612388cdfda67a,2,,,,,,,,,
7ffdbc358b63378f07311e883dddacc9faeeaf4b,2,,,,,,,,,
26aa6fe2028b5eefbaa40ab54ef725bbbe7d9810,2,2,2,,,,,,,
ccaea944996c0935897cd6eb248d5f01367cd3c4,2,,,,,,,,,
7b4b43501d57ee40cdedf93882b613146faad7e2,2,2,,,,,,,,
af87324d562f207e8e4954744a93d153b35cf132,2,2,2,,,,,,,
b1ae1d75838b72f9ebaeffa882ca730a129a675c,2,2,,,,,,,,
69565e112703ca7a8d10c3eaa51efed9d7685440,2,2,,,,,,,,
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,2,2,2,,,,,,,
e5fdd5562215907afae7f097d0cf4f2f5991e48e,2,2,2,2,2,,,,,
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,2,2,1,1,2,1,1,2,,
ee47c74f530e229c36d703980b3acedfa693b111,2,,,,,,,,,
cbc33164f9db97698901f130f399f2898d856267,1,1,2,2,2,2,1,,,
b656c3ff78af97ba78eed50f048cd5aa972151b3,2,2,,,,,,,,
ccb1bafdae68c635cbd30d49fda7dbf88a3ce1b6,2,2,,,,,,,,
fcdf2cf98b2ec2c805c47862ca58a5a1aa40745e,,,,,,,,,,
03ad72b1a3b1db254893eb928ea8757d910fb35e,2,,,,,,,,,
19d1a4c1d4aa252c1881ec231a822bd0ec10411a,1,,,,,,,,,
76e199fcf5537c4e8ef774d792afd2978aa11ebb,2,,,,,,,,,
f8b2790b0576db5668881f53a2948d52875cb216,2,2,2,2,2,2,2,2,,
e0e58c639d8c4f440c9e9259c6a7dfd5f66dfe0d,2,2,,,,,,,,
446f1451aa594b13bf9b785533975f92608f2329,2,2,,,,,,,,
10f39897f091090acc385b8fac5d14e30152abc2,,,,,,,,,,
f7eef091f27b7acde472b986924bf756b30f8853,2,2,2,,,,,,,
aa096bedb09afd8a7c42da814834ee18c4fed9d1,2,2,2,,,,,,,
d2c56ed9e435918f601d46a50a5fffa0db189ed1,2,2,2,,,,,,,
6e23398447a022fb9495c44fa80e9de593a574bc,2,2,2,2,2,,,,,
5edad35b70e24fe9a33d556bd1a54511e34fcafd,1,1,1,1,1,1,,,,
60acc34101dc0395ae6d2ab6abf26cbedb00e961,2,,,,,,,,,
46cf2537300deac81f15f325eeccc2e661ccdf02,2,,,,,,,,,
b84478e7a5daa6e98ad8e1ea5403d9df1297cfb7,1,1,,,,,,,,
0033346700dc450ac22c9b704eab0e906d868662,2,2,2,2,2,2,1,1,,
f1bba29b1260c416ec22edb8db1934475c8d1344,,,,,,,,,,
842f6e38aa9daef802daf4309977ebbcba609c70,2,2,2,2,,,,,,
ea60c37995b355dcfcd2a718f99bd09a766fa07f,2,2,2,,,,,,,
f58820c99c2b3c55feeff0f322076974bd61d6da,2,2,,,,,,,,
134f4aa6ac6f5f0f0cc3b0cbaed79572aea396c8,2,2,,,,,,,,
38cfc0540a7ff7292aaca8e8f3cf4b5f9d7a0332,2,,,,,,,,,
517e3e954949d30ec06dd6628695d426eb077d01,1,1,,,,,,,,
dd1b0d41fe58a5adc6fd2149490f6bc545fe88db,2,2,2,2,2,,,,,
a1fb7093a7eba3c0a68dee7882f0b433bb061f7d,2,2,2,,,,,,,
e81f0fd3a3ecdfa6d874bd86b221827ddbc8d30c,2,2,1,2,,,,,,
2588e41e4cd9442387791325d241649ff13af33c,2,2,2,2,2,,,,,
08f4b3d292d801878ec3b0445e35ef4ad8c5193e,2,,,,,,,,,
16512c7f7447f002d057ae2645db99bbe8896e03,2,,,,,,,,,
3eea3c1604156b396d3a52e73f5cd33b57aabea3,2,2,,,,,,,,
8a7e4164d954eb55617362dcb18ca1359b4b753b,2,,,,,,,,,
07de99bf42bfe42d840987219fcf0c1bbeac4e80,2,,,,,,,,,
d38ad9f966c5cef1c152705b6753800d2753b144,2,2,2,2,2,1,,,,
b3434eceff25c9070cd150338620ac796ae8c3c5,2,2,,,,,,,,
8eeb2aa40d61bc4e79342e8b650d69e94ddd8dd0,2,,,,,,,,,
a0edefd3f11d8295c986723824684c81a8782c27,2,,,,,,,,,
5b886b608f5e33a2c287d91d470223f87d1dec09,2,2,2,2,2,,,,,
